id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
843,2025-08-13,13:56:16,AH,384,100-499,339.23,325.69,3.9913922707307785,Bearish,1,5.0,1,2.0,7.260558882317128,5
844,2025-08-13,14:01:55,AH,32,20-49,339.23,326.89,3.63764997199541,Bearish,1,5.0,1,2.0,7.260558882317128,5
845,2025-08-13,13:56:44,AH,32,20-49,339.23,327.14,3.563953659758875,Bearish,1,2.0,1,2.0,7.260558882317128,5
846,2025-08-13,06:10:26,PM,2,<10,342.4,331.5,3.183411214953265,Bearish,1,1.0,1,1.0,8.11915709593585,5
847,2025-08-13,13:42:52,AH,80,50-100,339.23,350.21,3.2367420334286354,Bullish,1,9.0,1,8.0,49.77941219821359,93
848,2025-08-13,13:42:28,AH,300,100-499,339.23,362.23,6.780060725761282,Bullish,1,20.0,1,8.0,49.77941219821359,93
886,2025-08-14,10:38:58,RTH,10,10-19,333.1,309.87,6.973881717202046,Bearish,0,,1,4.0,5.553885889067666,4
887,2025-08-14,13:56:40,AH,65,50-100,335.58,313.26,6.651171106740566,Bearish,0,,1,4.0,6.251860628310495,4
888,2025-08-14,13:51:25,AH,130,100-499,335.58,315.51,5.980690148399784,Bearish,1,4.0,1,4.0,6.251860628310495,4
889,2025-08-14,13:55:21,AH,13,10-19,335.58,316.26,5.757196495619523,Bearish,1,4.0,1,4.0,6.251860628310495,4
890,2025-08-14,14:02:11,AH,102,100-499,335.58,316.29,5.748256749508304,Bearish,1,4.0,1,4.0,6.251860628310495,4
891,2025-08-14,13:46:51,AH,110,100-499,335.58,316.59,5.658859288396212,Bearish,1,4.0,1,4.0,6.251860628310495,4
892,2025-08-14,13:46:33,AH,672,500-999,335.58,321.28,4.261278979676981,Bearish,1,4.0,1,4.0,6.251860628310495,4
893,2025-08-14,14:03:24,AH,95,50-100,335.58,321.56,4.177841349305674,Bearish,1,4.0,1,4.0,6.251860628310495,4
894,2025-08-14,13:52:05,AH,406,100-499,335.58,321.69,4.13910244949043,Bearish,1,4.0,1,4.0,6.251860628310495,4
