date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-10-06,AH,Sell,Sell,589037,0,1,14:18:31.394000,1,Sell,447.37249755859375,447.37249755859375,1.0,0.15547711245604662,2.0,453.25,430.5875,0,,29,0.0012576002740623277,,500k-1M
2025-10-07,AH,Sell,Sell,500000,0,1,13:49:44.481000,1,Sell,434.54998779296875,434.54998779296875,0.0,0.11616523406382762,,433.09,411.43549999999993,1,27.0,28,,-0.09462238177796481,100k-500k
2025-10-07,AH,Sell,,457509,0,1,13:50:48.534000,1,Sell,434.54998779296875,434.54998779296875,0.0,0.11616523406382762,,433.09,411.43549999999993,1,27.0,28,,-0.09462238177796481,100k-500k
2025-10-07,RTH,Sell,,400000,0,1,11:46:21.907000,0,Sell,434.6180114746094,434.6180114746094,1.0,0.12856004831121942,4.0,439.25,417.28749999999997,0,,29,-0.01347754906712436,,100k-500k
2025-10-08,AH,Buy,,419000,0,1,13:41:04.565000,1,Sell,432.1799011230469,432.1799011230469,1.0,0.12744763094828496,2.0,438.69,416.7555,0,,27,-0.010121053324243777,,100k-500k
2025-10-08,AH,Buy,,419000,0,1,13:41:04.500000,0,Sell,432.1799011230469,432.1799011230469,1.0,0.12744763094828496,2.0,438.69,416.7555,0,,27,-0.010121053324243777,,100k-500k
2025-10-09,AH,Sell,,417008,0,1,13:26:41.179000,1,Sell,436.2799987792969,436.2799987792969,1.0,0.12113698218465156,1.0,435.54,413.763,0,,26,-0.017426653999202093,,100k-500k
2025-10-14,AH,Buy,Buy,553566,0,1,13:38:37.685000,1,Buy,439.44000244140625,439.44000244140625,1.0,0.1044404233627312,8.0,429.24,450.70200000000006,0,,14,-0.03573759692366889,,500k-1M
2025-10-17,RTH,Buy,Buy,500000,0,1,11:50:55.937000,0,Buy,439.3999938964844,439.3999938964844,1.0,0.08035370051780667,8.0,438.81,460.75050000000005,0,,12,-0.05676717965296057,,100k-500k
2025-10-20,FirstHour,Sell,,400000,0,1,07:05:54.314000,0,Sell,443.03009033203125,443.03009033203125,1.0,0.1456185018988061,4.0,448.02,425.61899999999997,0,,20,-0.002856988065195233,,100k-500k
2025-10-22,RTH,Buy,,400000,0,1,08:59:46.225000,0,Sell,433.94000244140625,433.94000244140625,1.0,0.12182252276017051,2.0,435.88,414.08599999999996,0,,18,-0.008511508529619688,,100k-500k
2025-10-22,RTH,Buy,,400014,0,1,08:59:46.200000,0,Sell,433.94000244140625,433.94000244140625,1.0,0.12182252276017051,2.0,435.88,414.08599999999996,0,,18,-0.008511508529619688,,100k-500k
2025-10-23,PM,Buy,Buy,725402,0,1,05:58:47.500000,0,Buy,424.45989990234375,424.45989990234375,1.0,0.1281864141840558,4.0,438.97,460.91850000000005,0,,39,-0.057110978206974625,,500k-1M
2025-10-23,RTH,Buy,Sell,700000,0,1,12:54:56.865000,0,Sell,448.9949951171875,448.9949951171875,1.0,0.1473883533148527,12.0,448.95,426.50249999999994,0,,17,-0.05595279501997719,,500k-1M
2025-10-23,RTH,Buy,Sell,699859,0,1,12:54:56.800000,0,Sell,448.9949951171875,448.9949951171875,1.0,0.1473883533148527,12.0,448.95,426.50249999999994,0,,17,-0.05595279501997719,,500k-1M
2025-10-27,RTH,Buy,Sell,500000,0,1,09:17:16.403000,0,Sell,458.0,458.0,1.0,0.1611588385797316,10.0,456.32,433.50399999999996,0,,15,-0.03889815770559861,,100k-500k
2025-10-27,RTH,Buy,,499999,0,1,09:17:16.400000,0,Sell,458.0,458.0,1.0,0.1611588385797316,10.0,456.32,433.50399999999996,0,,15,-0.03889815770559861,,100k-500k
2025-10-31,RTH,Buy,,420000,0,1,10:18:56.450000,0,Buy,452.42999267578125,452.42999267578125,1.0,0.11722811172777892,2.0,446.48,468.80400000000003,0,,36,-0.004434689123812978,,100k-500k
2025-10-31,RTH,Buy,,419990,0,1,10:18:56.400000,0,Buy,452.42999267578125,452.42999267578125,1.0,0.11722811172777892,2.0,446.48,468.80400000000003,0,,36,-0.004434689123812978,,100k-500k
2025-11-03,RTH,Sell,,400000,0,1,10:42:18.357000,0,Sell,465.90899658203125,465.90899658203125,1.0,0.18279248766162065,2.0,468.4,444.97999999999996,0,,10,-0.004955575162788264,,100k-500k
2025-11-04,RTH,Sell,Buy,700000,0,1,12:11:30.694000,0,Buy,444.19000244140625,444.19000244140625,0.0,0.1167028752025314,,446.69,469.0245,1,29.0,34,,-0.14307461823793485,500k-1M
2025-11-04,RTH,Sell,Buy,700000,0,1,12:11:30.694000,0,Buy,444.19000244140625,444.19000244140625,0.0,0.11667787625748548,,446.7,469.035,1,29.0,34,,-0.1430938017029396,500k-1M
2025-11-06,RTH,Buy,Sell,700000,0,1,10:55:47.953000,1,Sell,451.1799011230469,451.1799011230469,1.0,0.14763516794491652,2.0,449.08,426.626,0,,7,-0.00529970485231616,,500k-1M
